Tag,Time_ms
E2801170000002076A509C7C,1708456123625
E2801170000002076A50957B,1708456124294
E2801170000002076A50957A,1708456124116
E2801170000002076A509476,1708456124192
E2801170000002076A50957D,1708456123994
E2801170000002076A508C7E,1708456123932
E2801170000002076A509570,1708456125287
E2801170000002076A508C7D,1708456125183
E2801170000002076A509477,1708456124611
E2801170000002076A50957C,1708456125189
E2801170000002076A509478,1708456125014
E2801170000002076A50957C,1708456125410
E2801170000002076A508D78,1708456126082
E2801170000002076A50957C,1708456125660
E2801170000002076A50957C,1708456126008
E2801170000002076A50957B,1708456125754
E2801170000002076A509477,1708456126142
E2801170000002076A50957B,1708456126219
E2801170000002076A509476,1708456126678
E2801170000002076A509477,1708456126590
E2801170000002076A509476,1708456126528
E2801170000002076A509478,1708456126949
E2801170000002076A509570,1708456127125
E2801170000002076A509478,1708456126934
E2801170000002076A50957A,1708456128115
E2801170000002076A50957C,1708456127590
E2801170000002076A509477,1708456128396
E2801170000002076A50957A,1708456127497
E2801170000002076A509C7C,1708456128208
E2801170000002076A509570,1708456128427
E2801170000002076A50957B,1708456128784
E2801170000002076A508D78,1708456129133
E2801170000002076A508C7D,1708456128948
E2801170000002076A509477,1708456129110
E2801170000002076A50957B,1708456129191
E2801170000002076A509477,1708456129130
E2801170000002076A508C7D,1708456129771
E2801170000002076A509478,1708456129519
E2801170000002076A508C7D,1708456130033
E2801170000002076A508C7D,1708456129954
E2801170000002076A509478,1708456129642
E2801170000002076A509477,1708456129543
E2801170000002076A50957A,1708456130961
E2801170000002076A508C7E,1708456130899
E2801170000002076A508C7D,1708456131036
E2801170000002076A509477,1708456130856
E2801170000002076A509477,1708456130971
E2801170000002076A509477,1708456130750
E2801170000002076A509476,1708456131740
E2801170000002076A50957C,1708456132332
E2801170000002076A508C7E,1708456131960
E2801170000002076A509476,1708456131615
E2801170000002076A509C7C,1708456131480
E2801170000002076A50957A,1708456132456
E2801170000002076A508C7E,1708456132635
E2801170000002076A50957B,1708456133454
E2801170000002076A509478,1708456133181
E2801170000002076A509C7C,1708456133441
E2801170000002076A509C7C,1708456132668
E2801170000002076A50957B,1708456133194
E2801170000002076A509476,1708456133838
E2801170000002076A50957C,1708456133755
E2801170000002076A50957C,1708456134221
E2801170000002076A508C7D,1708456134209
E2801170000002076A508D78,1708456133800
E2801170000002076A508C7E,1708456133854
E2801170000002076A509478,1708456134556
E2801170000002076A50957C,1708456134999
E2801170000002076A509C7C,1708456134746
E2801170000002076A50957C,1708456134730
E2801170000002076A508D78,1708456134763
E2801170000002076A50957D,1708456134666
E2801170000002076A509570,1708456135909
E2801170000002076A50957A,1708456136099
E2801170000002076A509477,1708456135583
E2801170000002076A508D78,1708456136136
E2801170000002076A509476,1708456136098
E2801170000002076A509478,1708456136171
E2801170000002076A508C7D,1708456136740
E2801170000002076A509C7C,1708456137160
E2801170000002076A508C7D,1708456137165
E2801170000002076A509570,1708456136776
E2801170000002076A50957C,1708456137344
E2801170000002076A50957D,1708456136989
E2801170000002076A509477,1708456137607
E2801170000002076A509477,1708456138080
E2801170000002076A50957B,1708456137586
E2801170000002076A509476,1708456137645
E2801170000002076A508C7D,1708456137490
E2801170000002076A508C7E,1708456137766
E2801170000002076A508C7E,1708456138516
E2801170000002076A50957B,1708456139335
E2801170000002076A508D78,1708456138660
E2801170000002076A509478,1708456138933
E2801170000002076A50957A,1708456139182
E2801170000002076A50957B,1708456139431
