Tag,RSSI_dBm,Antenna,Time_ms
E2801170000002076A50957C,0,0,1708456124191
E2801170000002076A509477,0,0,1708456124116
E2801170000002076A509477,0,0,1708456123607
E2801170000002076A509476,0,0,1708456123886
E2801170000002076A50957B,0,0,1708456123669
E2801170000002076A509476,0,0,1708456124440
E2801170000002076A509477,0,0,1708456125106
E2801170000002076A50957A,0,0,1708456125034
E2801170000002076A509477,0,0,1708456125064
E2801170000002076A509570,0,0,1708456125025
E2801170000002076A509478,0,0,1708456124610
E2801170000002076A509478,0,0,1708456125376
E2801170000002076A50957A,0,0,1708456125500
E2801170000002076A509570,0,0,1708456125759
E2801170000002076A509478,0,0,1708456126165
E2801170000002076A508D78,0,0,1708456126073
E2801170000002076A509570,0,0,1708456125667
E2801170000002076A508D78,0,0,1708456125940
E2801170000002076A50957A,0,0,1708456127168
E2801170000002076A508D78,0,0,1708456127155
E2801170000002076A508C7D,0,0,1708456126515
E2801170000002076A508C7D,0,0,1708456127180
E2801170000002076A50957C,0,0,1708456126559
E2801170000002076A509C7C,0,0,1708456127376
E2801170000002076A509476,0,0,1708456128428
E2801170000002076A509477,0,0,1708456127508
E2801170000002076A509478,0,0,1708456127817
E2801170000002076A509478,0,0,1708456127891
E2801170000002076A50957D,0,0,1708456128334
E2801170000002076A509476,0,0,1708456127521
E2801170000002076A508C7D,0,0,1708456128744
E2801170000002076A509478,0,0,1708456128886
E2801170000002076A508C7D,0,0,1708456128631
E2801170000002076A50957A,0,0,1708456129207
E2801170000002076A50957A,0,0,1708456128598
E2801170000002076A509C7C,0,0,1708456129118
E2801170000002076A50957B,0,0,1708456130179
E2801170000002076A509476,0,0,1708456129667
E2801170000002076A508D78,0,0,1708456129775
E2801170000002076A508D78,0,0,1708456130041
E2801170000002076A50957C,0,0,1708456129659
E2801170000002076A508C7D,0,0,1708456129529
E2801170000002076A509570,0,0,1708456131215
E2801170000002076A50957D,0,0,1708456131069
E2801170000002076A508C7E,0,0,1708456130530
E2801170000002076A509476,0,0,1708456130604
E2801170000002076A509477,0,0,1708456131150
E2801170000002076A50957C,0,0,1708456130945
E2801170000002076A509570,0,0,1708456132368
E2801170000002076A50957B,0,0,1708456131889
E2801170000002076A50957C,0,0,1708456132025
E2801170000002076A509570,0,0,1708456131492
E2801170000002076A508C7E,0,0,1708456131854
E2801170000002076A50957C,0,0,1708456131902
E2801170000002076A508C7E,0,0,1708456132828
E2801170000002076A509477,0,0,1708456133329
E2801170000002076A50957A,0,0,1708456132927
E2801170000002076A509C7C,0,0,1708456133030
E2801170000002076A509570,0,0,1708456132542
E2801170000002076A50957A,0,0,1708456133393
E2801170000002076A509478,0,0,1708456134154
E2801170000002076A509570,0,0,1708456133833
E2801170000002076A508C7E,0,0,1708456134169
E2801170000002076A508C7E,0,0,1708456133705
E2801170000002076A509570,0,0,1708456134144
E2801170000002076A509478,0,0,1708456133550
E2801170000002076A508C7D,0,0,1708456134818
E2801170000002076A508D78,0,0,1708456135109
E2801170000002076A50957C,0,0,1708456134559
E2801170000002076A50957A,0,0,1708456134514
E2801170000002076A508D78,0,0,1708456135439
E2801170000002076A50957D,0,0,1708456135038
