Tag,Time_ms
E2801170000002076A509476,41158
E2801170000002076A509476,41163
E2801170000002076A509476,41239
E2801170000002076A509476,41315
E2801170000002076A509476,41391
E2801170000002076A509476,41467
E2801170000002076A509476,41543
E2801170000002076A509476,41619
E2801170000002076A509476,41695
E2801170000002076A509476,41771
E2801170000002076A509476,47909
E2801170000002076A509476,47913
E2801170000002076A509476,47989
E2801170000002076A509476,48135
E2801170000002076A509476,48495
E2801170000002076A509476,48856
E2801170000002076A509478,79355
E2801170000002076A509478,79621
E2801170000002076A509C7C,84982
E2801170000002076A509C7C,85058
E2801170000002076A509C7C,85294
E2801170000002076A509C7C,85370
E2801170000002076A509C7C,85541
E2801170000002076A509C7C,85772
E2801170000002076A509C7C,92201
E2801170000002076A509C7C,129250
E2801170000002076A509C7C,129327
E2801170000002076A509C7C,129404
E2801170000002076A509C7C,129481
E2801170000002076A509C7C,129558
E2801170000002076A509C7C,129635
E2801170000002076A509C7C,129712
E2801170000002076A509C7C,129789
E2801170000002076A50957A,130008
E2801170000002076A50957A,130085
E2801170000002076A50957A,135839
E2801170000002076A50957A,135857
E2801170000002076A508C7E,136158
E2801170000002076A508C7E,136235
E2801170000002076A508C7E,136312
E2801170000002076A508C7E,136389
E2801170000002076A508C7E,136467
E2801170000002076A508C7E,136544
E2801170000002076A508C7E,136621
E2801170000002076A508C7E,136698
E2801170000002076A508C7E,142660
E2801170000002076A508C7E,142736
E2801170000002076A508C7E,142813
E2801170000002076A508C7E,142890
E2801170000002076A508C7E,142967
E2801170000002076A508C7E,143044
E2801170000002076A508C7E,143121
E2801170000002076A508C7E,143198
E2801170000002076A508C7E,143275
E2801170000002076A508C7E,143353
E2801170000002076A508C7E,149349
E2801170000002076A508C7E,149355
E2801170000002076A508C7E,149432
E2801170000002076A508C7E,149509
E2801170000002076A508C7E,149586
E2801170000002076A508C7E,149664
E2801170000002076A508C7E,149741
E2801170000002076A508C7E,149818
E2801170000002076A508C7E,149966
E2801170000002076A508C7E,150043
E2801170000002076A508C7E,156018
E2801170000002076A508C7E,156092
E2801170000002076A508C7E,156169
E2801170000002076A508C7E,156246
E2801170000002076A508C7E,156323
E2801170000002076A508C7E,156400
E2801170000002076A508C7E,156477
E2801170000002076A508C7E,156555
E2801170000002076A508C7E,156632
E2801170000002076A508C7E,156709
E2801170000002076A508C7E,162608
E2801170000002076A508C7E,162615
E2801170000002076A508C7E,162692
E2801170000002076A508C7E,162769
E2801170000002076A508C7E,162846
E2801170000002076A508C7E,162923
E2801170000002076A508C7E,163001
E2801170000002076A508C7E,163078
E2801170000002076A508C7E,163155
E2801170000002076A508C7E,163232
