Tag,Time_ms
E2801170000002076A508C7E,1708456124045
E2801170000002076A508C7D,1708456124273
E2801170000002076A508D78,1708456123472
E2801170000002076A508D78,1708456123925
E2801170000002076A508D78,1708456124146
E2801170000002076A509478,1708456123834
E2801170000002076A50957B,1708456125033
E2801170000002076A508D78,1708456125131
E2801170000002076A509478,1708456125219
E2801170000002076A50957C,1708456124943
E2801170000002076A509476,1708456125080
E2801170000002076A508C7D,1708456124841
E2801170000002076A508C7D,1708456126093
E2801170000002076A50957C,1708456125476
E2801170000002076A50957B,1708456125923
E2801170000002076A509570,1708456126183
E2801170000002076A508D78,1708456125537
E2801170000002076A509476,1708456126443
E2801170000002076A509476,1708456126862
E2801170000002076A508C7E,1708456126516
E2801170000002076A50957D,1708456126479
E2801170000002076A509477,1708456126646
E2801170000002076A50957A,1708456126531
E2801170000002076A50957D,1708456126544
E2801170000002076A509570,1708456127926
E2801170000002076A50957B,1708456128180
E2801170000002076A50957B,1708456127889
E2801170000002076A50957C,1708456128453
E2801170000002076A50957D,1708456128257
E2801170000002076A509C7C,1708456128103
